,ECON101_grade,ENGLISH125_grade,DATASCI306_grade,MATH217_grade,STATS250_grade,EECS545_grade
10112,B,A-,,,B+,
10113,A-,B-,,,C+,
10114,A,A,,,B,
10115,B+,A-,,,B-,
10116,A,A,,,A,
10117,B+,A,,,B+,
10118,C-,A,,,B+,
10119,B,A-,,,B,
10120,C+,A-,,,A,
10121,B+,A-,,,B-,
10122,A-,A-,,,A+,
10123,B-,A,,,D-,
10124,C+,A,,,B-,
10125,B+,A,,,A-,
10126,A,B,,,B-,
10127,C-,A+,,,C+,
10128,A+,B+,,,A,
10129,D+,A,,,A,
10130,A,A-,,,B-,
10131,C+,A-,,,A-,
10132,B+,A-,,,B,
10133,A+,A-,,,A,
10134,C+,A,,,A,
10135,A-,A-,,,C-,
10136,A,B+,,,E,
10137,D+,B,,,B+,
10138,B+,A,,,B-,
10139,C+,A,,,B,
10140,A-,A,,,C,
10141,A,A,,,B-,
10142,A-,A-,,,A+,
10143,A,A,,,C+,
10144,A-,A+,,,B,
10145,C+,B+,,,C,
10146,A-,A,,,B,
10147,B+,A,,,A-,
10148,B+,A,,,A,
10149,C-,A,,,A,
10150,A,B+,,,A,
10151,B+,A,,,B-,
10152,A+,A+,,,A-,
10153,B+,C+,,,C-,
10154,A-,A-,,,C+,
10155,B-,A+,,,A-,
10156,C+,A-,,,C,
10157,B-,A-,,,B+,
10158,A+,B+,,,B,
10159,A+,A+,,,A,
10160,D,A-,,,B+,
10161,B,A,,,B-,
10162,C-,A,,,C,
10163,D,A-,,,C+,
10164,C,B+,,,C+,
10165,B,A,,,A-,
10166,B+,A,,,C,
10167,A-,A,,,C-,
10168,C-,A,,,C-,
10169,A,A,,,A-,
10170,A-,A+,,,B-,
10171,C+,A,,,A,
10172,D,A,,,A,
10173,B+,A,,,E,
10174,C-,A,,,A,
10175,B,A-,,,B-,
10176,B,A,,,B,
10177,B+,B+,,,B-,
10178,C+,A,,,A,
10179,C+,A-,,,A-,
10180,B-,A,,,A,
10181,B,A,,,B,
10182,B,A-,,,A,
10183,C+,A,,,E,
10184,C,A,,,B+,
10185,B,A,,,B,
10186,B-,A,,,A,
10187,A-,A,,,A-,
10188,A+,B+,,,B,
10189,B,A,,,B,
10190,A,A,,,A-,
10191,B+,B,,,B+,
10192,A,A,,,B+,
10193,A,A,,,B-,
10194,A+,A,,,C+,
10195,B+,A,,,A-,
10196,A,A,,,D+,
10197,A+,A,,,A-,
10198,A,A,,,C+,
10199,B+,A,,,E,
10200,A+,A+,,,A,
10201,A+,A-,,,B-,
10202,A,A-,,,B,
10203,A,A-,,,A,
10204,C+,A-,,,B+,
10205,C-,A-,,,B-,
10206,C+,B+,,,B-,
10207,B+,A,,,A,
10208,C+,B+,,,C+,
10209,A-,A,,,C,
10210,B,A,,,A,
10211,B,A-,,,B-,
10212,B+,A-,,,B+,
10213,A,A-,,,A-,
10214,C+,A,,,B+,
10215,A+,A,,,B-,
10216,A-,A,,,B,
10217,B,A,,,C+,
10218,A,A-,,,B+,
10219,B-,B-,,,B-,
10220,A,A-,,,A-,
10221,A,B+,,,C,
10222,A-,B+,,,B+,
10223,B-,A,,,A,
10224,B,A-,,,B+,
10225,B,A-,,,A,
10226,D,A-,,,B,
10227,A,B+,,,D+,
10228,A,A,,,A-,
10229,A-,A,,,B,
10230,B,A,,,C,
10231,C+,B+,,,B-,
10232,B+,A,,,A-,
10233,B,A-,,,A-,
10234,B,A,,,B-,
10235,D,A+,,,B-,
10236,A,A,,,C,
10237,A-,A-,,,C,
10238,A,A,,,B+,
10239,B,A,,,B,
10240,B+,B+,,,A-,
10241,A+,A,,,B,
10242,C+,A-,,,A-,
10243,A,B+,,,B+,
10244,B+,A,,,B+,
10245,B+,A,,,D-,
10246,B,B+,,,C,
10247,B,A,,,B+,
10248,A+,A,,,B-,
10249,E,B+,,,C,
10250,B-,A,,,A-,
10251,B+,A,,,A,
10252,A-,A-,,,A,
10253,B,A-,,,A,
10254,B-,A-,,,B-,
10255,B,A,,,B-,
10256,C,A,,,B+,
10257,B+,C+,,,A-,
10258,A,A,,,B-,
10259,A-,A-,,,B-,
10260,C-,B-,,,B+,
10261,B+,A-,,,A+,
10262,A-,A+,,,B+,
10263,A,A,,,A,
10264,A,A-,,,D+,
10265,B+,A,,,A-,
10266,A-,A,,,A,
10267,C-,B+,,,B,
10268,B-,A,,,C+,
10269,A-,A,,,B-,
10270,A-,A-,,,A,
10271,A-,A-,,,B,
10272,A+,A,,,A-,
10273,B,A,,,C+,
10274,A-,B+,,,C-,
10275,C+,A-,,,B-,
10276,B,A,,,A,
10277,A,A,,,B,
10278,A,A-,,,B-,
10279,A-,B+,,,A,
10280,A-,B,,,B,
10281,A-,A,,,A-,
10282,A-,A,,,E,
10283,B,B+,,,C-,
10284,A,A,,,A-,
10285,C+,A,,,A-,
10286,B+,B+,,,B+,
10287,A,A,,,C+,
10288,B,B+,,,A-,
10289,A+,A-,,,E,
10290,A,A+,,,A-,
10291,A-,A,,,D+,
10292,B,A,,,B-,
10293,A-,B+,,,C+,
10294,A+,A,,,A-,
10295,B,B+,,,B,
10296,A,A,,,E,
10297,C,A,,,A+,
10298,A-,A,,,A-,
10299,A,C,,,A,
10300,A-,A,,,B+,
10301,B+,A-,,,B,
10302,B-,B+,,,B+,
10303,B-,A-,,,A-,
10304,B,A,,,B-,
10305,B+,A+,,,B,
10306,D+,B+,,,A-,
10307,C,B,,,B,
10308,B,B+,,,B,
10309,B-,A,,,A,
10310,A,A,,,A-,
10311,C+,A,,,B,
10312,D+,A-,,,B+,
10313,A-,A-,,,B+,
10314,C,A-,,,A,
10315,B,A-,,,B+,
10316,A-,A,,,B+,
10317,C,A,,,B-,
10318,A-,A,,,A,
10319,A-,A,,,B,
10320,C,A,,,B-,
10321,A,A-,,,B-,
10322,B+,B+,,,A,
10323,B,B+,,,A,
10324,B,A-,,,A,
10325,C-,A-,,,C+,
10326,A-,A,,,D+,
10327,B+,B-,,,B,
10328,A,B+,,,C,
10329,B-,B+,,,D+,
10330,B-,C,,,A-,
10331,B,A,,,B+,
10332,A-,A,,,A,
10333,A-,B+,,,A-,
10334,A,B+,,,C-,
10335,B,A,,,B,
10336,C+,A,,,A,
10337,A,A,,,D+,
10338,A+,A,,,A,
10339,A-,A-,,,B+,
10340,A-,A-,,,E,
10341,A+,A,,,A,
10342,B-,A,,,D-,
10343,A,A,,,B,
10344,C-,A,,,A-,
10345,C,A,,,E,
10346,C+,A-,,,B-,
10347,A-,A-,,,D+,
10348,B,A,,,C+,
10349,A-,A+,,,A,
10350,A-,B,,,C,
10351,B,A-,,,A,
10352,C+,A,,,A+,
10353,A,A-,,,C-,
10354,B,A,,,A-,
10355,A,A,,,A-,
10356,B,A-,,,C+,
10357,A,A,,,A-,
10358,C+,A-,,,A,
10359,A,A,,,B-,
10360,B+,B-,,,A+,
10361,A-,A-,,,D-,
10362,A-,A,,,A-,
10363,C-,B,,,B-,
10364,A,C-,,,D-,
10365,A,A-,,,A-,
10366,C,A,,,A-,
10367,C,A,,,A,
10368,B+,A,,,A-,
10369,A+,A,,,A-,
10370,B-,B+,,,B,
10371,B-,A+,,,A-,
10372,A+,A+,,,B+,
10373,A-,A,,,D,
10374,A-,A-,,,A-,
10375,A,A-,,,A,
10376,A,D+,,,E,
10377,E,A-,,,B-,
10378,C-,D,,,A,
10379,A+,A,,,C,
10380,A,A,,,A-,
10381,A-,A,,,A,
10382,A+,A-,,,B+,
10383,E,A,,,A,
10384,A,B,,,A,
10385,B,A-,,,C+,
10386,B,A,,,B+,
10387,A+,A-,,,A-,
10388,B+,D+,,,B+,
10389,A-,A,,,A-,
10390,A,A,,,B,
10391,A,A,,,B,
10392,B+,A,,,B,
10393,B,A,,,A-,
10394,C,C,,,B-,
10395,A-,A,,,B+,
10396,B+,B+,,,B,
10397,A-,A,,,A-,
10398,A,B+,,,B,
10399,C+,A,,,A-,
10400,C,B+,,,A,
10401,B,B,,,A-,
10402,B,A,,,B-,
10403,A,A-,,,A,
10404,B+,A,,,A+,
10405,B,A-,,,A-,
10406,A+,A,,,B-,
10407,A-,A,,,A-,
10408,A-,A,,,D,
10409,B,A-,,,B,
10410,A,A,,,E,
10411,D,A-,,,A-,
10412,C,A,,,C-,
10413,C,B,,,E,
10414,A-,B,,,A,
10415,B,A,,,C,
10416,B+,A-,,,E,
10417,B-,A,,,A+,
10418,A-,A,,,B,
10419,B,A+,,,A,
10420,D-,A,,,B-,
10421,A-,A-,,,A,
10422,A,A-,,,B-,
10423,C-,B+,,,A-,
10424,A,B+,,,B,
10425,A,A-,,,C-,
10426,A,A-,,,B+,
10427,C-,A,,,E,
10428,B+,A-,,,A,
10429,A,A-,,,B+,
10430,A,A,,,B,
10431,A-,A+,,,B,
10432,D,A,,,A,
10433,A+,A,,,C+,
10434,A-,A,,,B-,
10435,B,B+,,,B,
10436,A-,A-,,,B,
10437,A,A-,,,C,
10438,B+,B,,,A-,
10439,A-,A-,,,B,
10440,A-,A,,,A,
10441,B+,A,,,B-,
10442,A+,A,,,B,
10443,A,B+,,,A-,
10444,B-,A,,,B+,
10445,D,A,,,B+,
10446,C,B+,,,C-,
10447,C,B,,,B-,
10448,C+,A,,,A-,
10449,A,B+,,,A-,
10450,C-,A-,,,B,
10451,B-,A,,,C,
10452,E,A,,,C,
10453,C+,C+,,,A,
10454,A-,A,,,A-,
10455,B,A-,,,A,
10456,A,A-,,,B,
10457,C,A-,,,B+,
10458,A-,A,,,B,
10459,C-,A,,,A-,
10460,B-,A,,,B-,
10461,C+,A-,,,B,
10462,B+,A,,,B+,
10463,B+,A-,,,B+,
10464,B+,A-,,,A+,
10465,B-,B+,,,A-,
10466,A,A,,,B-,
10467,A,A,,,B+,
10468,B+,B,,,C-,
10469,A-,A,,,A,
10470,A,A,,,A-,
10471,B,A,,,C+,
10472,C-,A,,,B,
10473,B,A,,,B-,
10474,B,A,,,C,
10475,B,A-,,,A-,
10476,D+,A,,,B-,
10477,A-,A,,,A+,
10478,A-,A,,,C-,
10479,B-,A-,,,B+,
10480,C+,A-,,,B-,
10481,A-,A+,,,B+,
10482,B+,A,,,B-,
10483,B-,A-,,,B+,
10484,B+,A,,,D+,
10485,B,A,,,A,
10486,B+,B+,,,A,
10487,A-,A,,,C-,
10488,A+,A,,,B+,
10489,C,A,,,B,
10490,B,A,,,B,
10491,A+,A,,,A,
10492,A-,A-,,,A,
10493,B+,A,,,A+,
10494,C,B,,,A,
10495,B+,A,,,A-,
10496,A,B+,,,A,
10497,B,A,,,B,
10498,C,B+,,,B+,
10499,B+,B+,,,A,
10500,B+,A-,,,B,
10501,A-,A,,,C+,
10502,A+,A,,,C-,
10503,A,A,,,A,
10504,A,A,,,A-,
10505,C+,A+,,,B-,
10506,A,A,,,D+,
10507,B,A-,,,A,
10508,A,B+,,,C,
10509,B,B+,,,B-,
10510,A-,A-,,,B+,
10511,A,A-,,,A,
10512,A-,A-,,,B-,
10513,B+,A-,,,B,
10514,B+,B+,,,B+,
10515,B+,A+,,,B,
10516,C,A,,,B+,
10517,B+,B+,,,A+,
10518,B,A+,,,B,
10519,B,A,,,A,
10520,A,B+,,,C,
10521,A-,A,,,A,
10522,A+,A-,,,C+,
10523,B+,B+,,,B+,
10524,B+,A,,,A-,
10525,B-,A,,,B+,
10526,D+,D+,,,B+,
10527,C-,A-,,,D+,
10528,B,A-,,,C+,
10529,B+,A,,,A+,
10530,B,A,,,B,
10531,C,A-,,,B-,
10532,A-,A-,,,C+,
10533,B+,E,,,A,
10534,C+,A,,,B+,
10535,B+,A-,,,A-,
10536,B+,B,,,B-,
10537,B,A,,,B,
10538,A+,A-,,,C-,
10539,A,B+,,,A-,
10540,A,B+,,,B-,
10541,A-,B,,,A,
10542,A,A-,,,B+,
10543,A-,B+,,,A,
10544,B+,B+,,,A,
10545,B,A-,,,A+,
10546,B+,B,,,C+,
10547,A,A,,,A-,
10548,A,A,,,B+,
10549,B-,B,,,B-,
10550,B+,A,,,B+,
10551,B,A,,,A,
10552,A-,A+,,,B+,
10553,B,A,,,B,
10554,B,A,,,A-,
10555,D+,A,,,B+,
10556,B-,B+,,,B+,
10557,A-,A-,,,C,
10558,A,C,,,E,
10559,A-,A,,,D-,
10560,B-,B,,,A,
10561,B+,A-,,,A-,
10562,A-,A-,,,A-,
10563,C,B+,,,C+,
10564,B,A-,,,B-,
10565,A-,A-,,,B,
10566,A,A-,,,B,
10567,C,B+,,,B,
10568,A-,A,,,B-,
10569,B,B+,,,B,
10570,A-,A,,,A+,
10571,A-,B+,,,A,
10572,A-,A-,,,A+,
10573,B-,A,,,B,
10574,B,A,,,A,
10575,B-,A,,,B,
10576,A,A,,,B+,
10577,A,B,,,A-,
10578,C,A,,,A,
10579,C+,B+,,,B+,
10580,B,A-,,,A,
10581,B+,A,,,C,
10582,A+,A+,,,A,
10583,A+,A-,,,B,
10584,B+,A,,,B+,
10585,B,A,,,B+,
10586,A-,A-,,,B-,
10587,C-,A,,,A+,
10588,A,A+,,,B-,
10589,B-,A-,,,B+,
10590,B+,A-,,,A,
10591,A-,B+,,,B-,
10592,C+,A-,,,B+,
10593,A,B+,,,A,
10594,A-,B,,,A-,
10595,A-,A,,,A-,
10596,A-,A,,,A-,
10597,B,A,,,A,
10598,A,A,,,A-,
10599,B+,A-,,,A+,
10600,B,A,,,B+,
10601,A-,D,,,A+,
10602,C+,A+,,,B+,
10603,C,A,,,A-,
10604,A,A,,,B,
10605,B+,A+,,,A+,
10606,A,A,,,B-,
10607,B,B+,,,A-,
10608,C,B,,,A,
10609,B+,C+,,,D+,
10610,B-,A-,,,D,
10611,C+,C,,,B-,
10612,A,A+,,,B,
10613,B,B+,,,C-,
10614,A-,B+,,,C+,
10615,A,A-,,,A,
10616,D+,A,,,A,
10617,A,A,,,A-,
10618,B,A,,,B-,
10619,B,B-,,,B,
10620,C+,A,,,B+,
10621,A,A,,,B+,
10622,A-,A,,,B+,
10623,C+,A-,,,C+,
10624,A-,A-,,,B,
10625,D,B+,,,C+,
10626,A,A,,,A,
10627,A-,A,,,C+,
10628,B+,A-,,,B,
10629,A-,A-,,,B-,
10630,A,A-,,,B,
10631,B,A,,,C-,
10632,A+,A-,,,B-,
10633,A-,A-,,,A+,
10634,C,A,,,C+,
10635,A,A,,,A-,
10636,C-,B,,,D-,
10637,B,A,,,B,
10638,C,A,,,A+,
10639,A,A,,,C-,
10640,B,A,,,A-,
10641,A+,C+,,,A,
10642,A-,A-,,,A,
10643,B,A,,,C-,
10644,A,A,,,A,
10645,A,A-,,,A,
10646,B,A-,,,B+,
10647,A+,A,,,B+,
10648,C+,B,,,C+,
10649,C,A-,,,A,
10650,B-,A,,,A,
10651,B,A,,,B+,
10652,A-,B+,,,B-,
10653,A,A-,,,B+,
10654,A,A,,,B+,
10655,B,A-,,,A-,
10656,B-,A,,,B,
10657,B,A,,,A-,
10658,C+,A,,,A-,
10659,A,B,,,B,
10660,A-,B+,,,A,
10661,B+,A,,,C-,
10662,B-,A-,,,B+,
10663,A-,A-,,,A,
10664,B,A,,,A-,
10665,B,B-,,,A,
10666,A-,A,,,A-,
10667,A-,A,,,B-,
10668,B-,B+,,,B-,
10669,A,A+,,,B,
10670,B,A,,,B+,
10671,A-,A,,,B-,
10672,A-,A-,,,A-,
10673,A-,B+,,,C-,
10674,C-,A,,,B-,
10675,C+,A-,,,D+,
10676,B-,A,,,D+,
10677,A,B,,,B+,
10678,A,A+,,,A,
10679,C+,A,,,A,
10680,C-,A,,,B+,
10681,C,A,,,B+,
10682,A,A,,,A-,
10683,B-,A-,,,B+,
10684,B,A-,,,D+,
10685,A-,B+,,,A-,
10686,C,A-,,,B+,
10687,C-,A,,,A-,
10688,C-,A-,,,B+,
10689,B,C+,,,A-,
10690,B,C+,,,B,
10691,A,A-,,,A,
10692,A,A,,,B,
10693,C+,B,,,B,
10694,A,A,,,B+,
10695,C,A-,,,B+,
10696,B+,A+,,,A,
10697,B,A-,,,C,
10698,A+,A,,,A,
10699,A+,A-,,,A,
10700,B,A-,,,B-,
10701,B,A,,,A-,
10702,B-,A,,,C-,
10703,D-,A,,,B+,
10704,B+,A-,,,D,
10705,A-,B,,,B,
10706,B,A,,,D+,
10707,B+,C+,,,B,
10708,A+,A-,,,B+,
10709,A-,A,,,A,
10710,A-,B+,,,B+,
10711,B+,A,,,C-,
10712,A,B,,,B,
10713,A-,A-,,,B,
10714,B,A,,,A-,
10715,B,A-,,,A,
10716,A-,B,,,A-,
10717,A-,C,,,B,
10718,A,B,,,B,
10719,B-,B+,,,B+,
10720,A,A,,,A+,
10721,A+,A,,,A,
10722,B-,A,,,B+,
10723,B-,A-,,,B-,
10724,C,A,,,B,
10725,C,A,,,A,
10726,C+,A-,,,C,
10727,A,A,,,B+,
10728,B-,A,,,B,
10729,B,D,,,C+,
10730,A,A,,,A-,
10731,A-,A,,,C+,
10732,B+,A,,,C+,
10733,B,A,,,B-,
10734,B+,B-,,,E,
10735,C+,A,,,A-,
10736,C+,A,,,A+,
10737,A,A-,,,A+,
10738,A,A,,,A,
10739,A-,A-,,,A-,
10740,A-,A-,,,A,
10741,B,A-,,,B-,
10742,B+,A+,,,A-,
10743,A-,A+,,,A+,
10744,B-,A,,,B-,
10745,C+,A+,,,B,
10746,A,A,,,B-,
10747,B,A,,,C-,
10748,C+,A,,,B,
10749,C+,A+,,,A-,
10750,A-,A-,,,C-,
10751,B,A,,,B,
10752,B+,A,,,B-,
10753,B-,A+,,,C+,
10754,B-,A,,,A,
10755,B,A,,,A,
10756,A,A,,,B+,
10757,B+,C,,,A,
10758,B,A,,,A,
10759,B-,A,,,C,
10760,B-,A,,,A-,
10761,A,B,,,B-,
10762,A-,B+,,,B-,
10763,A,A+,,,C+,
10764,E,A,,,A-,
10765,C,A-,,,B+,
10766,B-,A-,,,C,
10767,C+,A,,,B+,
10768,B,A,,,A-,
10769,B,A,,,C-,
10770,C,A-,,,C,
10771,B-,A-,,,C,
10772,B,A-,,,B+,
10773,A,B+,,,A-,
10774,A,A-,,,C+,
10775,B+,A-,,,A-,
10776,A,A-,,,A-,
10777,A,A-,,,B,
10778,A,D+,,,B+,
10779,C+,A,,,E,
10780,B+,A-,,,B+,
10781,C,A,,,A-,
10782,B+,A,,,A+,
10783,B,B-,,,B,
10784,B-,B+,,,A-,
10785,E,A,,,B,
10786,A+,A,,,B,
10787,B+,A,,,B-,
10788,A,A-,,,A,
10789,A-,A,,,A-,
10790,A,A,,,B+,
10791,B+,A-,,,A,
10792,B,A,,,B+,
10793,A+,A,,,B+,
10794,B,A-,,,B-,
10795,C+,A,,,A,
10796,C,A,,,B-,
10797,A,A,,,C-,
10798,B+,A,,,B-,
10799,A,B,,,B+,
10800,C+,A,,,A+,
10801,B+,A-,,,B+,
10802,C-,B+,,,A,
10803,A-,B,,,C-,
10804,A-,A,,,B+,
10805,A-,A-,,,A+,
10806,B,A,,,A,
10807,C,A,,,B,
10808,B-,D,,,C+,
10809,B-,A,,,B+,
10810,A,A+,,,B+,
10811,B+,A-,,,A+,
10812,A,B+,,,B-,
10813,B+,A,,,C-,
10814,B+,A,,,A,
10815,A+,A,,,B+,
10816,B,A-,,,B,
10817,E,B+,,,B,
10818,A-,A+,,,A-,
10819,B-,C+,,,A-,
10820,B,A,,,A+,
10821,B+,A-,,,B+,
10822,B-,A,,,A-,
10823,B,A-,,,B-,
10824,A,B-,,,B-,
10825,A-,A,,,B+,
10826,C+,A-,,,C-,
10827,A-,A-,,,C+,
10828,C+,A+,,,B+,
10829,B,B,,,C+,
10830,A-,B+,,,A,
10831,C+,A-,,,B+,
10832,A,A-,,,A-,
10833,B-,A,,,C+,
10834,A-,C+,,,C+,
10835,B-,B+,,,A-,
10836,B-,A,,,A-,
10837,B+,A,,,A+,
10838,C-,A,,,A-,
10839,B+,A-,,,A-,
10840,B,A,,,D-,
10841,A-,A-,,,A,
10842,B+,A-,,,A,
10843,B+,B,,,B-,
10844,A-,A,,,B-,
10845,B,A,,,A+,
10846,A-,B+,,,A-,
10847,C+,A,,,B+,
10848,C-,B+,,,A-,
10849,B,A,,,A-,
10850,A-,B+,,,B,
10851,B,A,,,A,
10852,B,B+,,,A-,
10853,C+,B+,,,A,
10854,B,B+,,,C,
10855,B,A,,,A,
10856,B,A-,,,B,
10857,A-,A,,,B-,
10858,B-,A+,,,A-,
10859,B-,A-,,,B+,
10860,B+,A,,,A,
10861,B,A,,,A-,
10862,A-,A-,,,A,
10863,A+,B,,,A+,
10864,A,B+,,,B,
10865,B+,B-,,,B,
10866,A-,A-,,,C-,
10867,A,B,,,A-,
10868,B-,A,,,C+,
10869,B,A,,,C-,
10870,A,A,,,E,
10871,A-,A-,,,B,
10872,A+,A,,,B+,
10873,C+,A,,,A,
10874,A,A,,,A-,
10875,E,A,,,A-,
10876,B+,A,,,C+,
10877,B,A,,,B+,
10878,C+,A,,,B-,
10879,B+,C+,,,E,
10880,A,A,,,A-,
10881,B+,C+,,,C+,
10882,A-,A,,,A-,
10883,A+,A,,,A,
10884,B,A-,,,B-,
10885,C+,A-,,,B-,
10886,B+,A-,,,C+,
10887,A-,B+,,,B-,
10888,A-,B,,,D+,
10889,B,A-,,,E,
10890,D,A-,,,B-,
10891,C+,B+,,,C-,
10892,B,A,,,B-,
10893,B,B+,,,B,
10894,A,A+,,,B-,
10895,A,A,,,A,
10896,C,A-,,,C,
10897,B,A,,,C+,
10898,B-,A,,,D+,
10899,A-,B+,,,B-,
10900,A,A,,,A,
10901,A,A-,,,B+,
10902,A,A,,,A-,
10903,B+,B-,,,B,
10904,B,A,,,A-,
10905,C+,A,,,A,
10906,B+,A,,,A-,
10907,A,B,,,C+,
10908,B,A-,,,A+,
10909,C+,A-,,,A,
10910,B-,A,,,A,
10911,A-,A-,,,A-,
10912,C-,A,,,C+,
10913,C+,A,,,C+,
10914,A+,A-,,,E,
10915,B+,A,,,B-,
10916,C+,A,,,B+,
10917,C,A,,,C-,
10918,C+,A,,,B-,
10919,C,A,,,A-,
10920,A,A,,,A+,
10921,A-,A,,,B+,
10922,B-,A-,,,D+,
10923,A+,B,,,B-,
10924,B,A,,,A,
10925,B,B+,,,B-,
10926,B-,B,,,B,
10927,A,A,,,A,
10928,A-,A+,,,B+,
10929,B-,B,,,B,
10930,A-,B+,,,B+,
10931,A+,A+,,,C,
10932,C-,A-,,,A+,
10933,A-,B,,,A-,
10934,A,A-,,,B-,
10935,B,B+,,,B-,
10936,B+,B+,,,B,
10937,B,A-,,,C+,
10938,B-,A,,,A,
10939,B+,B+,,,A,
10940,B,A,,,A,
10941,B-,A-,,,B,
10942,A-,B,,,A-,
10943,C-,A,,,B-,
10944,A-,A-,,,B+,
10945,A,A,,,A,
10946,B+,A,,,B+,
10947,B,A-,,,A-,
10948,A,A,,,B,
10949,A-,A,,,B,
10950,B,B+,,,A+,
10951,C+,A,,,B+,
10952,A-,A-,,,D+,
10953,B-,C,,,A-,
10954,B-,A-,,,A-,
10955,B+,A-,,,C+,
10956,A,B+,,,A,
10957,B+,A,,,A-,
10958,B-,A,,,B-,
10959,A-,A,,,B,
10960,B,A,,,C+,
10961,B,A,,,A,
10962,B-,A,,,B,
10963,A-,A-,,,A,
10964,A,A-,,,A-,
10965,A-,A-,,,B-,
10966,A-,B,,,B,
10967,B-,C,,,A-,
10968,B,A-,,,B-,
10969,C+,B,,,B-,
10970,B-,A,,,A-,
10971,B-,B+,,,B+,
10972,B+,A,,,B,
10973,A,A,,,B,
10974,B+,A,,,B-,
10975,B-,B+,,,B+,
10976,A-,B,,,A,
10977,B+,A-,,,A-,
10978,C+,A+,,,B,
10979,B+,B+,,,B,
10980,A,A-,,,C,
10981,A,A-,,,A+,
10982,A-,A,,,B-,
10983,A,A,,,B+,
10984,B+,A,,,B,
10985,B-,A,,,A+,
10986,A-,A-,,,B,
10987,B-,A,,,B,
10988,C,A,,,A,
10989,A,E,,,A,
10990,C+,A,,,B-,
10991,A-,B+,,,B+,
10992,A,A,,,A+,
10993,A-,B+,,,B+,
10994,B,A,,,A,
10995,B+,B,,,B-,
10996,B-,B-,,,B-,
10997,B,A,,,C+,
10998,A,A,,,A,
10999,B+,B+,,,A,
11000,A,A,,,B-,
11001,B,A+,,,A-,
11002,A-,A-,,,B+,
11003,A,A+,,,A,
11004,A,D,,,B+,
11005,B,B,,,C+,
11006,A,A,,,E,
11007,C+,A-,,,A,
11008,B-,A-,,,B-,
11009,A+,A,,,E,
11010,B+,A,,,C+,
11011,A,B+,,,A+,
11012,A,A,,,B,
11013,B,A,,,A-,
11014,A-,A,,,B,
11015,B+,A+,,,B,
11016,A-,B+,,,A,
11017,B+,A-,,,A-,
11018,B,B+,,,A,
11019,B-,A,,,B-,
11020,A,B,,,A+,
11021,B+,A,,,A-,
11022,C,A,,,C+,
11023,A,A,,,C+,
11024,B-,A+,,,C,
11025,B,A-,,,B+,
11026,C-,A,,,A-,
11027,B+,A,,,A,
11028,A-,A,,,A,
11029,A+,A,,,A,
11030,C,A,,,A-,
11031,D,A,,,A-,
11032,A-,A,,,A,
11033,B,A-,,,C-,
11034,B+,A,,,B+,
11035,A,C+,,,B,
11036,D+,A,,,B,
11037,B-,A-,,,A-,
11038,A,A,,,B,
11039,B+,B+,,,C+,
11040,D,A,,,B-,
11041,D-,A,,,C+,
11042,C+,A-,,,B+,
11043,A+,A,,,B-,
11044,B-,A,,,D+,
11045,A,A+,,,A,
11046,A,A,,,B+,
11047,B-,A,,,B,
11048,A,A,,,D+,
11049,A,A-,,,C+,
11050,A,A-,,,A-,
11051,B,A-,,,C,
11052,A-,A,,,A,
11053,A,A+,,,B+,
11054,B+,A,,,C,
11055,B-,A-,,,A-,
11056,C+,A,,,B,
11057,B-,A,,,B-,
11058,B-,A-,,,C+,
11059,B,A,,,A-,
11060,A,A,,,B+,
11061,A-,A,,,B-,
11062,A,A,,,A,
11063,A,C+,,,A+,
11064,A-,A-,,,C+,
11065,C-,A,,,A+,
11066,B-,A-,,,A-,
11067,B,A,,,A-,
11068,A-,A-,,,C+,
11069,A+,C-,,,C+,
11070,A+,A,,,A-,
11071,B+,B,,,A-,
11072,A-,B+,,,D,
11073,A,A-,,,C-,
11074,A,A,,,B,
11075,A,A,,,A,
11076,A,B,,,A-,
11077,A-,A-,,,B-,
11078,A,B+,,,A-,
11079,A-,A,,,C,
11080,B-,B-,,,A,
11081,A,A-,,,B,
11082,B+,B+,,,C,
11083,A,A,,,A,
11084,A-,B,,,C+,
11085,B-,A,,,A-,
11086,B+,A,,,A-,
11087,B,A,,,A,
11088,A,A,,,B,
11089,C+,A,,,B+,
11090,A,A-,,,C+,
11091,B+,A,,,B+,
11092,A-,A,,,D+,
11093,B+,A,,,C-,
11094,A+,A,,,A,
11095,B-,B+,,,B+,
11096,A-,C+,,,B,
11097,A,A-,,,B+,
11098,B,A-,,,B+,
11099,B,A-,,,A-,
11100,C,A-,,,A,
11101,B,A+,,,A-,
11102,B,B+,,,A,
11103,A-,A,,,C+,
11104,C,A-,,,B-,
11105,C+,A-,,,C,
11106,C-,A-,,,A,
11107,A-,A-,,,B+,
11108,B-,B+,,,B-,
11109,A,A-,,,B,
11110,B,B-,,,B+,
11111,A+,A,,,C-,
11112,A-,A,,,C+,
11113,B,A+,,,B-,
11114,A-,B+,,,B,
11115,B,B+,,,A-,
11116,B,A,,,B-,
11117,B,A,,,C,
11118,C,B,,,B+,
11119,A,A-,,,B-,
11120,B-,A,,,C+,
11121,A,A-,,,C-,
11122,A-,B+,,,B,
11123,B+,A,,,B,
11124,C,A-,,,B-,
11125,A-,A,,,B,
11126,C+,B+,,,D-,
11127,A,B+,,,B,
11128,B+,A,,,A-,
11129,B+,A,,,A-,
11130,B+,A,,,B+,
11131,A-,A-,,,A-,
